condition,number of agents,persona,idea geneartion,discussion,replacement pool,additional idea generation,conversation length,discussion order,,,,,,,,
1,3,no,interactive,,,,,,,,,trial,condition,LLM,,
2,3,same,interactive,,,,,,,,,5,71,4.1 (temp 1),all,
3,3,different,interactive,,,,,,,,,5,27,o4mini (high),different (3),
4,6,no,interactive,,,,,,,,,5,27,o4mini (default),different (3),
5,6,same,interactive,,,,,,,,,5,27,mixed,different (3),deepseek R1/gemini 2.5pro/openai o3
6,6,different,interactive,,,,,,,,,,,,,
7,3,different,nominal,,,,,,,,,,,,,
8,6,different,nominal,,,,,,,,,,,,,
9,3,no,,open,,,30,fix,,,,,,,,
10,3,same,,open,,,30,fix,,,,,,,,
11,3,different,,open,,,30,fix,,,,,,,,
12,3,different,,open,,,30,random,,,,,,,,
13,3,no,,open,,,60,fix,,,,,,,,
14,3,same,,open,,,60,fix,,,,,,,,
15,3,different,,open,,,60,fix,,,,,,,,
16,3,different,,open,,,60,random,,,,,,,,
17,3,no,,instructed,no,,30,fix,,,,,,,,
18,3,same,,instructed,no,,30,fix,,,,,,,,
19,3,different,,instructed,no,,30,fix,,,,,,,,
20,3,different,,instructed,no,,30,raise,,,,,,,,
21,3,different,,instructed,no,,30,random,,,,,,,,
22,3,no,,instructed,no,,60 (minimum 30),fix,,,,,,,,
23,3,same,,instructed,no,,60 (minimum 30),fix,,,,,,,,
24,3,different,,instructed,no,,60 (minimum 30),fix,,,,,,,,
25,3,different,,instructed,no,,60 (minimum 30),raise,,,,,,,,
26,3,different,,instructed,no,,60 (minimum 30),random,,,,,,,,
27,3,no,,iterative,,,30,fix,,,,,,,,
28,3,same,,iterative,,,30,fix,,,,,,,,
29,3,different,,iterative,,,30,fix,,,,,,,,
30,3,different,,iterative,,,30,random,,,,,,,,
31,3,no,interactive,instructed,no,,30,fix,,,,,,,,
32,3,same,interactive,instructed,no,,30,fix,,,,,,,,
33,3,different,interactive,instructed,no,,30,fix,,,,,,,,
34,3,different,interactive,instructed,no,,30,raise,,,,,,,,
35,3,different,interactive,instructed,no,,30,random,,,,,,,,
36,3,no,interactive,instructed,no,,60 (minimum 30),fix,,,,,,,,
37,3,same,interactive,instructed,no,,60 (minimum 30),fix,,,,,,,,
38,3,different,interactive,instructed,no,,60 (minimum 30),fix,,,,,,,,
39,3,different,interactive,instructed,no,,60 (minimum 30),raise,,,,,,,,
40,3,different,interactive,instructed,no,,60 (minimum 30),random,,,,,,,,
41,3,no,interactive,instructed,top5,,30,fix,,,,,,,,
42,3,same,interactive,instructed,top5,,30,fix,,,,,,,,
43,3,different,interactive,instructed,top5,,30,fix,,,,,,,,
44,3,different,interactive,instructed,top5,,30,raise,,,,,,,,
45,3,different,interactive,instructed,top5,,30,random,,,,,,,,
46,6,no,interactive,instructed,no,,30,fix,,,,,,,,
47,6,same,interactive,instructed,no,,30,fix,,,,,,,,
48,6,different,interactive,instructed,no,,30,fix,,,,,,,,
49,6,different,interactive,instructed,no,,30,raise,,,,,,,,
50,6,different,interactive,instructed,no,,30,random,,,,,,,,
51,6,no,interactive,instructed,no,,60 (minimum 30),fix,,,,,,,,
52,6,same,interactive,instructed,no,,60 (minimum 30),fix,,,,,,,,
53,6,different,interactive,instructed,no,,60 (minimum 30),fix,,,,,,,,
54,6,different,interactive,instructed,no,,60 (minimum 30),raise,,,,,,,,
55,6,different,interactive,instructed,no,,60 (minimum 30),random,,,,,,,,
56,3,no,interactive,iterative,,,30,fix,,,,,,,,
57,3,same,interactive,iterative,,,30,fix,,,,,,,,
58,3,different,interactive,iterative,,,30,fix,,,,,,,,
59,3,different,interactive,iterative,,,30,random,,,,,,,,
60,6,no,interactive,iterative,,,30,fix,,,,,,,,
61,6,same,interactive,iterative,,,30,fix,,,,,,,,
62,6,different,interactive,iterative,,,30,fix,,,,,,,,
63,6,different,interactive,iterative,,,30,random,,,,,,,,
64,3,no,interactive,,,creative,,fix,,,,,,,,
65,3,same,interactive,,,creative,,fix,,,,,,,,
66,3,different,interactive,,,creative,,fix,,,,,,,,
67,3,different,interactive,,,creative,,random,,,,,,,,
68,6,no,interactive,,,creative,,fix,,,,,,,,
69,6,same,interactive,,,creative,,fix,,,,,,,,
70,6,different,interactive,,,creative,,fix,,,,,,,,
71,6,different,interactive,,,creative,,random,,,,,,,,
